date,name,approximate
1962-05-05,こどもの日,False
1962-09-23,秋分の日,True
1962-11-03,文化の日,False
1962-11-23,勤労感謝の日,False
1962-12-29,年末年始休暇,False
1962-12-30,年末年始休暇,False
1962-12-31,年末年始休暇,False
1963-01-01,元日,False
1963-01-02,年末年始休暇,False
1963-01-03,年末年始休暇,False
1963-01-15,成人の日,False
1963-03-21,春分の日,True
1963-04-29,天皇誕生日,False
1963-05-03,憲法記念日,False
1963-05-05,こどもの日,False
1963-09-24,秋分の日,True
1963-11-03,文化の日,False
1963-11-23,勤労感謝の日,False
1963-12-29,年末年始休暇,False
1963-12-30,年末年始休暇,False
1963-12-31,年末年始休暇,False
1964-01-01,元日,False
1964-01-02,年末年始休暇,False
1964-01-03,年末年始休暇,False
1964-01-15,成人の日,False
1964-03-20,春分の日,True
1964-04-29,天皇誕生日,False
1964-05-03,憲法記念日,False
1964-05-05,こどもの日,False
1964-09-23,秋分の日,True
1964-11-03,文化の日,False
1964-11-23,勤労感謝の日,False
1964-12-29,年末年始休暇,False
1964-12-30,年末年始休暇,False
1964-12-31,年末年始休暇,False
1965-01-01,元日,False
1965-01-02,年末年始休暇,False
1965-01-03,年末年始休暇,False
1965-01-15,成人の日,False
1965-03-21,春分の日,True
1965-04-29,天皇誕生日,False
1965-05-03,憲法記念日,False
1965-05-05,こどもの日,False
1965-09-23,秋分の日,True
1965-11-03,文化の日,False
1965-11-23,勤労感謝の日,False
1965-12-29,年末年始休暇,False
1965-12-30,年末年始休暇,False
1965-12-31,年末年始休暇,False
1966-01-01,元日,False
1966-01-02,年末年始休暇,False
1966-01-03,年末年始休暇,False
1966-01-15,成人の日,False
1966-02-11,建国記念の日,False
1966-03-21,春分の日,True
1966-04-29,天皇誕生日,False
1966-05-03,憲法記念日,False
1966-05-05,こどもの日,False
1966-09-15,敬老の日,False
1966-09-23,秋分の日,True
1966-10-10,体育の日,False
1966-11-03,文化の日,False
1966-11-23,勤労感謝の日,False
1966-12-29,年末年始休暇,False
1966-12-30,年末年始休暇,False
1966-12-31,年末年始休暇,False
1967-01-01,元日,False
1967-01-02,年末年始休暇,False
1967-01-03,年末年始休暇,False
1967-01-15,成人の日,False
1967-02-11,建国記念の日,False
1967-03-21,春分の日,True
1967-04-29,天皇誕生日,False
1967-05-03,憲法記念日,False
1967-05-05,こどもの日,False
1967-09-15,敬老の日,False
1967-09-24,秋分の日,True
1967-10-10,体育の日,False
1967-11-03,文化の日,False
1967-11-23,勤労感謝の日,False
1967-12-29,年末年始休暇,False
1967-12-30,年末年始休暇,False
1967-12-31,年末年始休暇,False
1968-01-01,元日,False
1968-01-02,年末年始休暇,False
1968-01-03,年末年始休暇,False
1968-01-15,成人の日,False
1968-02-11,建国記念の日,False
1968-03-20,春分の日,True
1968-04-29,天皇誕生日,False
1968-05-03,憲法記念日,False
1968-05-05,こどもの日,False
1968-09-15,敬老の日,False
1968-09-23,秋分の日,True
1968-10-10,体育の日,False
1968-11-03,文化の日,False
1968-11-23,勤労感謝の日,False
1968-12-29,年末年始休暇,False
1968-12-30,年末年始休暇,False
1968-12-31,年末年始休暇,False
1969-01-01,元日,False
1969-01-02,年末年始休暇,False
1969-01-03,年末年始休暇,False
1969-01-15,成人の日,False
1969-02-11,建国記念の日,False
1969-03-21,春分の日,True
1969-04-29,天皇誕生日,False
1969-05-03,憲法記念日,False
1969-05-05,こどもの日,False
1969-09-15,敬老の日,False
1969-09-23,秋分の日,True
1969-10-10,体育の日,False
1969-11-03,文化の日,False
1969-11-23,勤労感謝の日,False
1969-12-29,年末年始休暇,False
1969-12-30,年末年始休暇,False
1969-12-31,年末年始休暇,False
1970-01-01,元日,False
1970-01-02,年末年始休暇,False
1970-01-03,年末年始休暇,False
1970-01-15,成人の日,False
1970-02-11,建国記念の日,False
1970-03-21,春分の日,True
1970-04-29,天皇誕生日,False
1970-05-03,憲法記念日,False
1970-05-05,こどもの日,False
1970-09-15,敬老の日,False
1970-09-23,秋分の日,True
1970-10-10,体育の日,False
1970-11-03,文化の日,False
1970-11-23,勤労感謝の日,False
1970-12-29,年末年始休暇,False
1970-12-30,年末年始休暇,False
1970-12-31,年末年始休暇,False
1971-01-01,元日,False
1971-01-02,年末年始休暇,False
1971-01-03,年末年始休暇,False
1971-01-15,成人の日,False
1971-02-11,建国記念の日,False
1971-03-21,春分の日,True
1971-04-29,天皇誕生日,False
1971-05-03,憲法記念日,False
1971-05-05,こどもの日,False
1971-09-15,敬老の日,False
1971-09-24,秋分の日,True
1971-10-10,体育の日,False
1971-11-03,文化の日,False
1971-11-23,勤労感謝の日,False
1971-12-29,年末年始休暇,False
1971-12-30,年末年始休暇,False
1971-12-31,年末年始休暇,False
1972-01-01,元日,False
1972-01-02,年末年始休暇,False
1972-01-03,年末年始休暇,False
1972-01-15,成人の日,False
1972-02-11,建国記念の日,False
1972-03-20,春分の日,True
1972-04-29,天皇誕生日,False
1972-05-03,憲法記念日,False
1972-05-05,こどもの日,False
1972-09-15,敬老の日,False
1972-09-23,秋分の日,True
1972-10-10,体育の日,False
1972-11-03,文化の日,False
1972-11-23,勤労感謝の日,False
1972-12-29,年末年始休暇,False
1972-12-30,年末年始休暇,False
1972-12-31,年末年始休暇,False
1973-01-01,元日,False
1973-01-02,年末年始休暇,False
1973-01-03,年末年始休暇,False
1973-01-15,成人の日,False
1973-02-11,建国記念の日,False
1973-03-21,春分の日,True
1973-04-29,天皇誕生日,False
1973-04-30,休日,False
1973-05-03,憲法記念日,False
1973-05-05,こどもの日,False
1973-09-15,敬老の日,False
1973-09-23,秋分の日,True
1973-09-24,休日,False
1973-10-10,体育の日,False
1973-11-03,文化の日,False
1973-11-23,勤労感謝の日,False
1973-12-29,年末年始休暇,False
1973-12-30,年末年始休暇,False
1973-12-31,年末年始休暇,False
1974-01-01,元日,False
1974-01-02,年末年始休暇,False
1974-01-03,年末年始休暇,False
1974-01-15,成人の日,False
1974-02-11,建国記念の日,False
1974-03-21,春分の日,True
1974-04-29,天皇誕生日,False
1974-05-03,憲法記念日,False
1974-05-05,こどもの日,False
1974-05-06,休日,False
1974-09-15,敬老の日,False
1974-09-16,休日,False
1974-09-23,秋分の日,True
1974-10-10,体育の日,False
1974-11-03,文化の日,False
1974-11-04,休日,False
1974-11-23,勤労感謝の日,False
1974-12-29,年末年始休暇,False
1974-12-30,年末年始休暇,False
1974-12-31,年末年始休暇,False
1975-01-01,元日,False
1975-01-02,年末年始休暇,False
1975-01-03,年末年始休暇,False
1975-01-15,成人の日,False
1975-02-11,建国記念の日,False
1975-03-21,春分の日,True
1975-04-29,天皇誕生日,False
1975-05-03,憲法記念日,False
1975-05-05,こどもの日,False
1975-09-15,敬老の日,False
1975-09-24,秋分の日,True
1975-10-10,体育の日,False
1975-11-03,文化の日,False
1975-11-23,勤労感謝の日,False
1975-11-24,休日,False
1975-12-29,年末年始休暇,False
1975-12-30,年末年始休暇,False
1975-12-31,年末年始休暇,False
1976-01-01,元日,False
1976-01-02,年末年始休暇,False
1976-01-03,年末年始休暇,False
1976-01-15,成人の日,False
1976-02-11,建国記念の日,False
1976-03-20,春分の日,True
1976-04-29,天皇誕生日,False
1976-05-03,憲法記念日,False
1976-05-05,こどもの日,False
1976-09-15,敬老の日,False
1976-09-23,秋分の日,True
1976-10-10,体育の日,False
1976-10-11,休日,False
1976-11-03,文化の日,False
1976-11-23,勤労感謝の日,False
1976-12-29,年末年始休暇,False
1976-12-30,年末年始休暇,False
1976-12-31,年末年始休暇,False
1977-01-01,元日,False
1977-01-02,年末年始休暇,False
1977-01-03,年末年始休暇,False
1977-01-15,成人の日,False
1977-02-11,建国記念の日,False
1977-03-21,春分の日,True
1977-04-29,天皇誕生日,False
1977-05-03,憲法記念日,False
1977-05-05,こどもの日,False
1977-09-15,敬老の日,False
1977-09-23,秋分の日,True
1977-10-10,体育の日,False
1977-11-03,文化の日,False
1977-11-23,勤労感謝の日,False
1977-12-29,年末年始休暇,False
1977-12-30,年末年始休暇,False
1977-12-31,年末年始休暇,False
1978-01-01,元日,False
1978-01-02,休日,False
1978-01-03,年末年始休暇,False
1978-01-15,成人の日,False
1978-01-16,休日,False
1978-02-11,建国記念の日,False
1978-03-21,春分の日,True
1978-04-29,天皇誕生日,False
1978-05-03,憲法記念日,False
1978-05-05,こどもの日,False
1978-09-15,敬老の日,False
1978-09-23,秋分の日,True
1978-10-10,体育の日,False
1978-11-03,文化の日,False
1978-11-23,勤労感謝の日,False
1978-12-29,年末年始休暇,False
1978-12-30,年末年始休暇,False
1978-12-31,年末年始休暇,False
1979-01-01,元日,False
1979-01-02,年末年始休暇,False
1979-01-03,年末年始休暇,False
1979-01-15,成人の日,False
1979-02-11,建国記念の日,False
1979-02-12,休日,False
1979-03-21,春分の日,True
1979-04-29,天皇誕生日,False
1979-04-30,休日,False
1979-05-03,憲法記念日,False
1979-05-05,こどもの日,False
1979-09-15,敬老の日,False
1979-09-24,秋分の日,True
1979-10-10,体育の日,False
1979-11-03,文化の日,False
1979-11-23,勤労感謝の日,False
1979-12-29,年末年始休暇,False
1979-12-30,年末年始休暇,False
1979-12-31,年末年始休暇,False
1980-01-01,元日,False
1980-01-02,年末年始休暇,False
1980-01-03,年末年始休暇,False
1980-01-15,成人の日,False
1980-02-11,建国記念の日,False
1980-03-20,春分の日,True
1980-04-29,天皇誕生日,False
1980-05-03,憲法記念日,False
1980-05-05,こどもの日,False
1980-09-15,敬老の日,False
1980-09-23,秋分の日,True
1980-10-10,体育の日,False
1980-11-03,文化の日,False
1980-11-23,勤労感謝の日,False
1980-11-24,休日,False
1980-12-29,年末年始休暇,False
1980-12-30,年末年始休暇,False
1980-12-31,年末年始休暇,False
1981-01-01,元日,False
1981-01-02,年末年始休暇,False
1981-01-03,年末年始休暇,False
1981-01-15,成人の日,False
1981-02-11,建国記念の日,False
1981-03-21,春分の日,True
1981-04-29,天皇誕生日,False
1981-05-03,憲法記念日,False
1981-05-04,休日,False
1981-05-05,こどもの日,False
1981-09-15,敬老の日,False
1981-09-23,秋分の日,True
1981-10-10,体育の日,False
1981-11-03,文化の日,False
1981-11-23,勤労感謝の日,False
1981-12-29,年末年始休暇,False
1981-12-30,年末年始休暇,False
1981-12-31,年末年始休暇,False
1982-01-01,元日,False
1982-01-02,年末年始休暇,False
1982-01-03,年末年始休暇,False
1982-01-15,成人の日,False
1982-02-11,建国記念の日,False
1982-03-21,春分の日,True
1982-03-22,休日,False
1982-04-29,天皇誕生日,False
1982-05-03,憲法記念日,False
1982-05-05,こどもの日,False
1982-09-15,敬老の日,False
1982-09-23,秋分の日,True
